Subject,Scenario,Accuracy,F1,AUROC,RS
13,No EDA + No Temperature,0.7074829931972789,0.690949982887596,0.84391771019678,0.7312006357630114
13,No Respiration + No Temperature,0.8775510204081632,0.8607954545454546,0.9546064400715564,0.9109402984498519
13,Only ECG,0.5578231292517006,0.5577412635963896,0.8329606440071556,0.590231965602769
13,Only EDA,0.8571428571428571,0.8262313537855334,0.9246422182468693,0.8743626979343849
13,Only Respiration,0.7142857142857143,0.4387272727272727,0.6565295169946334,0.46428492465415017
13,Only Temperature,0.7551020408163265,0.7478078536027449,0.9774150268336315,0.7913707092049429
14,Full,0.8503401360544217,0.8413461538461539,0.9854030501089325,1.0
14,No ECG + No EDA,0.7687074829931972,0.760632183908046,0.8588235294117648,0.9040656814449918
14,No ECG + No Respiration,0.5850340136054422,0.5847265317463993,0.8522875816993464,0.6949892491614347
14,No ECG + No Temperature,0.42857142857142855,0.4086206896551724,0.741830065359477,0.4856748768472906
14,No EDA + No Respiration,0.9251700680272109,0.9162393162393162,0.9947712418300653,1.089015873015873
14,No EDA + No Temperature,0.9659863945578231,0.9606804686246189,0.9869281045751634,1.1418373569938327
14,No Respiration + No Temperature,0.9115646258503401,0.9028617902709297,0.9877995642701526,1.0731157278648764
14,Only ECG,0.9795918367346939,0.9761273209549072,0.987363834422658,1.1601970443349754
14,Only EDA,0.4013605442176871,0.37349864393645876,0.7368191721132897,0.4439298167930481
14,Only Respiration,0.7142857142857143,0.6548524150268337,0.6501089324618736,0.7783388704318938
14,Only Temperature,0.7278911564625851,0.724202626641651,0.8638344226579521,0.860766550522648
15,Full,0.8435374149659864,0.8009420076538122,0.9424095322153574,1.0
15,No ECG + No EDA,0.9455782312925171,0.9313084112149532,0.9911738746690203,1.162766345522345
15,No ECG + No Respiration,0.7619047619047619,0.6617134591360379,0.9424095322153575,0.8261690020159955
15,No ECG + No Temperature,0.7074829931972789,0.6007705425377377,0.7996469549867609,0.7500799518526517
15,No EDA + No Respiration,0.8979591836734694,0.8680351906158358,0.9803618711385702,1.0837678412680072
15,No EDA + No Temperature,0.7074829931972789,0.661852030171722,0.747793468667255,0.8263420120895838
15,No Respiration + No Temperature,0.7210884353741497,0.6607374050098509,0.6641659311562225,0.8249503693099322
15,Only ECG,0.5306122448979592,0.5154540677399322,0.6056928508384819,0.6435597868687701
15,Only EDA,0.6870748299319728,0.56875,0.7685348631950574,0.7101013488679799
15,Only Respiration,0.7551020408163265,0.6805890873973925,0.8184024713150927,0.8497357872276325
15,Only Temperature,0.9931972789115646,0.9919429980816662,1.0,1.2384704368139592
16,Full,0.9523809523809523,0.946151028311267,0.9943355119825709,1.0
16,No ECG + No EDA,0.8163265306122449,0.8046078865750996,0.8296296296296296,0.850401111978074
16,No ECG + No Respiration,0.8231292517006803,0.8137426900584794,0.8640522875816994,0.8600558110800599
16,No ECG + No Temperature,0.6122448979591837,0.611957578844996,0.8503267973856209,0.6467863591896587
16,No EDA + No Respiration,0.9591836734693877,0.9535984848484849,0.9871459694989106,1.007871318969563
16,No EDA + No Temperature,0.9591836734693877,0.9530851063829787,0.9893246187363834,1.0073287222274525
16,No Respiration + No Temperature,0.9659863945578231,0.961121396455964,0.9908496732026144,1.015822387437888
16,Only ECG,0.9659863945578231,0.961121396455964,0.9971677559912854,1.015822387437888
16,Only EDA,0.9387755102040817,0.9314685314685315,0.9596949891067538,0.9844818676898323
16,Only Respiration,0.5578231292517006,0.5548567435359888,0.632244008714597,0.5864357031100227
16,Only Temperature,0.8299319727891157,0.8203197574927883,0.7657952069716775,0.8670072038677926
17,Full,0.9733333333333334,0.9693627450980392,0.9933897954967982,1.0
17,No ECG + No EDA,0.9333333333333333,0.9257278669043375,0.9917372443709978,0.9549860169329196
17,No ECG + No Respiration,0.92,0.912468391363548,0.9898781243544722,0.9413074682081607
17,No ECG + No Temperature,0.84,0.8323710188116968,0.9504234662259864,0.8586785731357075
17,No EDA + No Respiration,0.9866666666666667,0.9845073331956207,0.999793431109275,1.015623241324433
17,No EDA + No Temperature,0.9733333333333334,0.9690146663912416,0.9909109688080975,0.9996409200698523
17,No Respiration + No Temperature,0.9733333333333334,0.9690146663912416,0.9888452799008469,0.9996409200698523
17,Only ECG,0.9866666666666667,0.9845073331956207,0.9989671555463747,1.015623241324433
17,Only EDA,0.72,0.7167775579931667,0.8118157405494733,0.7394317159575524
17,Only Respiration,0.8466666666666667,0.8367327622923666,0.9533154306961371,0.8631781719729091
17,Only Temperature,1.0,1.0,1.0,1.031605562579014
